algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
K-Means,raw,2,,,,,0.5354891049761026,0.6610684699386126,188461.22352431627
K-Means,raw,3,,,,,0.421833704729751,0.8412641381789528,165386.65878455414
K-Means,raw,4,,,,,0.34969542031036,1.0034067862704625,143820.41760559022
K-Means,raw,5,,,,,0.3601601168170682,0.9222441840911253,135342.7066977863
K-Means,raw,6,,,,,0.3459308230367356,0.9334749583946733,130045.20032782243
K-Means,raw,7,,,,,0.34590842814835043,0.8967486216363997,131293.36276380758
K-Means,raw,8,,,,,0.33857293431116664,0.8946172990953974,130828.29872983212
GMM,raw,2,,,,,0.5288116906017155,0.6665928626207142,183950.97579545242
GMM,raw,3,,,,,0.4164768145732706,0.8440829213858846,162085.3184330407
GMM,raw,4,,,,,0.34327664355627946,1.001820298751282,140412.87882989063
GMM,raw,5,,,,,0.31384602281321666,1.0017040232131278,116929.9384168581
GMM,raw,6,,,,,0.13299878714336896,3.252574879215562,50770.602518718
GMM,raw,7,,,,,0.11853861582287885,7.365167963480571,43480.90012757058
GMM,raw,8,,,,,0.0760357460569578,5.472924262636321,39666.59677330916
Agglomerative,raw,2,,,,,0.5242597193006554,0.6718855966623466,9422.12796752245
Agglomerative,raw,3,,,,,0.3704043112643868,0.9920749528182052,6707.178806244606
Agglomerative,raw,4,,,,,0.3123942489353834,1.0369259958942167,6562.447178533344
Agglomerative,raw,5,,,,,0.3003566257345267,0.9763352327193544,6088.7191238453415
Agglomerative,raw,6,,,,,0.29975122462519355,1.023263714490246,5842.647904594328
Agglomerative,raw,7,,,,,0.2886421457677616,0.9921351554717626,5754.412013088113
Agglomerative,raw,8,,,,,0.2831580776362127,0.9801920111134728,5667.089578015534
Spectral,raw,2,,,,,0.530867356641257,0.6637221609611244,9614.994593980333
Spectral,raw,3,,,,,0.3890412597905231,0.7983419325585817,7385.893384969993
Spectral,raw,4,,,,,0.3331960570806525,0.985548522721067,6326.807051690192
Spectral,raw,5,,,,,0.339480510142458,0.9650060959400413,6543.908961834649
Spectral,raw,6,,,,,0.30493127845063156,0.9819614280013367,5819.588012652855
Spectral,raw,7,,,,,0.3109666918993765,0.911597553417586,6021.161130237266
Spectral,raw,8,,,,,0.32848541509057594,0.8579481424171072,6341.60826080163
DBSCAN,raw,,0.5,,,,-0.6910802170743029,1.3302180687110332,9.374511796945482
DBSCAN,raw,,1.0,,,,-0.638824278386618,1.8611416043218636,46.503403116589816
DBSCAN,raw,,1.5,,,,-0.7948752088866039,1.552351810386152,7.558236611253732
BIRCH,raw,,,,1.5,6007,0.15062109520496783,1.2756122931115745,9077.217794213846
BIRCH,raw,,,,3.0,508,0.1664900736227474,1.3525212996973628,27924.930344591776
BIRCH,raw,,,,5.0,78,0.21905294809052125,1.1262974648897885,71819.14509708664
BIRCH,raw,,,,10.0,12,0.30597600074100245,0.9459739039518809,117188.59705616637
OPTICS,raw,,,3,,9233,-0.38359176406870804,1.514947754405981,7.349951724522704
OPTICS,raw,,,5,,2576,-0.6665562352645483,1.4603027463028124,9.573703294162106
OPTICS,raw,,,10,,240,-0.8495057826790118,1.2743116823885148,16.337864767222
OPTICS,raw,,,20,,10,-0.6042453903903784,0.8280614665847686,39.513279899657846
